student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
54,20,Female,High School,6.97,2.3,0.56,5.09,2.76,7.17,8.03,32,309,No,Yes,Average,26.41,87.63,94.25,73.97,74.97
55,21,Other,Postgraduate,6.2,4.58,2.87,1.06,2.35,8.27,6.69,29,369,Yes,No,Excellent,33.2,82.7,48.1,53.65,26.99
56,23,Female,High School,2.99,4.87,3.93,0.83,1.9,4.66,5.51,63,378,No,Yes,Excellent,72.08,60.82,12.39,88.81,8.35
57,23,Female,High School,3.42,5.68,1.82,4.47,1.15,4.72,4.23,4,367,Yes,No,Poor,25.19,42.72,75.98,91.85,72.16
58,22,Male,Undergraduate,3.43,5.54,1.37,2.05,2.67,6.08,7.36,117,243,Yes,Yes,Good,70.08,60.45,33.02,8.81,31.8
59,25,Other,High School,3.63,3.75,4.02,2.55,2.51,5.07,9.48,107,217,No,No,Poor,91.82,34.02,34.98,85.97,23.19
60,17,Other,High School,4.01,5.66,2.78,4.68,1.37,4.72,6.54,40,90,Yes,Yes,Poor,83.76,59.28,31.8,8.96,79.37
61,17,Male,Postgraduate,7.7,4.27,3.45,0.83,4.34,6.87,5.64,5,190,No,No,Good,69.29,88.25,50.08,62.65,46.75
62,25,Male,High School,3.53,1.14,1.88,5.87,3.02,7.44,3.05,99,328,No,No,Excellent,13.04,46.75,54.23,10.18,97.94
63,22,Female,Postgraduate,0.52,1.2,0.54,3.04,1.36,8.18,6.26,110,214,Yes,No,Good,79.12,32.39,76.24,59.67,0.59
64,19,Other,Undergraduate,3.94,1.25,0.81,0.08,2.26,6.59,7.86,36,327,Yes,No,Poor,69.33,69.2,9.39,39.54,93.7
65,22,Male,High School,1.94,5.85,0.57,4.79,0.01,5.24,3.06,88,244,Yes,No,Average,53.89,98.62,56.04,32.42,30.97
66,23,Male,Postgraduate,1.22,1.81,1.1,3.25,4.18,4.65,2.99,11,68,Yes,Yes,Average,16.76,56.16,15.59,42.67,60.87
67,20,Female,Postgraduate,2.93,2.9,0.93,5.93,0.01,8.18,4.43,105,97,Yes,Yes,Good,7.22,92.67,74.67,79.58,57.72
68,18,Other,Postgraduate,3.59,1.7,4.21,5.46,4.27,4.86,5.44,10,307,Yes,Yes,Good,23.42,75.13,18.1,11.73,15.4
69,18,Female,Postgraduate,7.0,1.45,0.62,0.77,1.51,4.89,9.69,50,27,Yes,Yes,Average,88.1,27.78,19.09,12.73,88.14
70,25,Male,Undergraduate,6.82,1.18,0.68,5.8,4.71,7.47,6.45,74,155,Yes,No,Good,10.46,13.77,61.89,66.38,35.95
71,17,Other,Postgraduate,3.61,4.26,3.83,4.31,1.21,7.95,3.72,55,128,Yes,No,Poor,77.97,4.48,33.44,68.05,63.21
72,23,Female,High School,4.67,4.2,0.73,0.62,2.1,7.01,9.85,25,106,Yes,No,Average,21.06,79.58,38.49,16.2,4.53
73,17,Other,High School,1.98,4.83,0.78,4.18,2.1,8.28,4.67,16,164,No,No,Excellent,51.78,10.74,84.87,53.65,82.99
74,22,Female,Undergraduate,1.13,4.76,2.92,2.23,4.34,6.63,8.45,51,151,Yes,Yes,Good,86.41,10.07,7.02,42.7,37.65
75,22,Female,Undergraduate,5.19,4.18,1.91,5.99,3.83,8.39,8.66,34,261,Yes,Yes,Poor,0.27,72.71,75.8,98.29,50.08
76,18,Female,High School,1.8,1.57,4.07,3.79,4.2,6.78,9.14,82,58,Yes,No,Poor,69.71,58.93,58.26,14.86,39.23
77,21,Male,Postgraduate,3.16,0.79,2.4,2.33,1.44,8.53,2.76,75,95,No,Yes,Good,54.28,12.35,45.55,48.41,41.59
78,21,Other,High School,5.7,1.14,1.85,1.3,4.94,5.98,5.2,13,204,Yes,Yes,Poor,55.0,80.95,76.22,51.73,2.62
79,22,Female,Undergraduate,3.86,5.33,4.33,1.75,3.67,6.4,7.03,18,215,Yes,No,Excellent,82.83,61.02,72.32,53.74,40.75
80,20,Female,High School,5.37,2.55,0.34,3.52,2.55,7.4,8.32,65,307,No,No,Poor,63.43,58.26,90.25,44.92,96.64
81,19,Other,Undergraduate,3.09,5.83,2.5,2.61,3.23,6.71,2.63,107,9,No,Yes,Good,65.72,57.07,22.92,39.24,63.19
82,19,Other,High School,3.02,1.49,0.6,1.51,0.76,5.44,4.53,59,3,No,Yes,Poor,26.04,11.29,72.83,40.2,42.38
83,19,Female,High School,5.43,5.57,3.86,5.71,2.23,4.28,6.19,39,339,No,Yes,Average,98.56,14.21,66.3,51.36,42.37
84,21,Male,Undergraduate,6.81,3.81,0.8,3.53,4.69,4.17,6.81,19,96,Yes,Yes,Average,44.88,54.32,3.07,71.35,0.66
85,18,Male,Postgraduate,1.61,1.6,2.63,1.97,3.51,4.72,5.9,18,264,Yes,No,Poor,63.92,33.91,43.38,83.58,94.58
86,20,Female,High School,6.05,5.63,0.94,5.1,1.44,4.14,8.44,80,182,No,No,Excellent,89.89,84.86,47.36,2.54,41.98
87,21,Female,High School,3.46,3.17,4.89,2.26,4.55,5.77,3.08,112,38,Yes,Yes,Good,21.69,69.79,45.94,73.93,92.0
88,20,Other,High School,3.12,3.49,1.93,2.11,0.65,5.09,4.86,37,220,No,Yes,Excellent,99.4,92.14,40.15,33.89,12.11
89,19,Female,High School,3.7,2.73,4.45,1.54,1.3,7.47,6.91,108,101,Yes,Yes,Average,41.07,87.79,11.05,49.03,55.18
90,22,Female,High School,3.13,0.9,4.67,5.4,3.5,4.19,3.97,96,315,Yes,Yes,Poor,94.08,7.27,4.18,90.89,88.59
91,19,Male,Undergraduate,0.9,1.27,0.77,1.95,3.22,6.01,7.45,106,119,Yes,Yes,Average,64.4,66.84,49.91,42.05,15.57
92,25,Female,Postgraduate,3.58,4.78,0.76,2.91,3.21,7.43,5.77,73,356,No,No,Average,44.86,9.89,67.03,38.98,66.96
93,21,Other,Postgraduate,5.06,5.29,0.77,3.33,4.98,5.14,7.42,74,288,Yes,Yes,Excellent,41.55,96.89,89.1,6.34,87.0
94,18,Other,Postgraduate,5.6,0.76,2.18,5.5,3.15,7.17,8.26,85,312,Yes,Yes,Poor,45.88,64.01,39.08,4.77,98.7
95,24,Other,Undergraduate,3.02,3.88,3.2,3.93,0.61,4.85,3.85,28,317,Yes,No,Good,12.97,38.0,43.68,22.1,38.1
96,21,Male,High School,4.81,0.88,1.69,0.38,2.95,6.65,5.78,14,235,No,Yes,Good,58.21,82.69,64.52,58.62,50.85
97,17,Female,High School,3.48,1.26,3.22,1.04,4.79,4.57,7.93,56,218,Yes,No,Good,9.45,0.29,23.55,12.9,68.63
98,23,Other,High School,4.16,1.87,4.1,3.34,4.89,5.13,2.89,50,61,No,No,Poor,44.11,85.0,36.06,66.25,73.86
99,22,Male,Postgraduate,1.28,4.7,4.5,4.31,3.79,7.8,6.49,64,358,Yes,Yes,Good,20.78,89.61,83.35,47.25,35.89
100,18,Male,Undergraduate,0.57,0.71,1.8,5.73,0.2,4.08,2.72,11,38,Yes,Yes,Excellent,87.66,28.16,5.97,18.04,3.39
101,21,Other,Undergraduate,6.53,1.17,4.36,0.34,4.91,8.35,6.61,23,152,Yes,No,Good,69.55,1.66,67.34,24.41,13.61
102,25,Female,Undergraduate,2.86,4.53,4.36,5.4,0.65,5.3,5.83,112,185,No,Yes,Good,55.1,90.61,45.12,15.77,79.09
103,22,Male,Postgraduate,7.71,3.76,1.37,1.76,0.59,6.17,8.88,32,2,Yes,No,Average,28.4,99.79,45.13,1.7,46.37
104,19,Other,High School,5.98,0.61,0.29,1.65,1.01,4.07,8.56,54,274,Yes,No,Good,78.35,13.49,69.39,64.99,12.6
105,21,Male,High School,4.65,5.09,0.61,5.12,0.06,7.29,3.58,67,181,No,No,Poor,11.19,62.89,42.28,92.37,30.32
106,22,Other,Undergraduate,5.85,0.65,4.22,0.29,1.52,8.48,7.27,6,212,No,Yes,Good,3.09,83.05,13.78,85.75,7.3
107,19,Male,High School,5.96,1.07,2.51,0.15,2.32,7.09,8.02,5,49,Yes,Yes,Poor,71.2,47.77,47.85,28.0,85.61
108,24,Other,High School,6.17,4.7,2.81,4.81,2.93,6.13,9.39,57,74,No,No,Poor,50.72,10.19,19.98,39.66,59.97
109,23,Female,Undergraduate,4.8,3.87,1.4,2.57,3.8,7.73,2.56,57,365,Yes,Yes,Average,32.06,94.47,4.73,28.58,65.76
110,23,Male,High School,4.95,1.97,3.91,1.37,1.2,6.43,4.47,12,91,Yes,Yes,Poor,83.14,23.15,89.39,6.65,38.8
111,22,Male,High School,1.51,0.69,1.93,4.78,4.29,7.21,7.08,27,215,Yes,Yes,Excellent,4.09,34.39,30.84,84.81,26.09
112,23,Other,High School,6.95,4.01,1.81,5.22,0.24,6.55,7.73,99,65,No,Yes,Poor,77.04,95.42,88.71,58.29,37.19
113,19,Female,Postgraduate,2.44,3.8,2.05,4.42,4.92,5.25,3.48,9,172,Yes,No,Average,26.62,34.58,93.0,57.92,42.47
114,25,Female,Postgraduate,1.21,4.35,3.18,4.65,3.01,7.14,9.27,27,397,No,Yes,Excellent,0.07,59.35,72.55,31.01,99.37
115,20,Male,Postgraduate,5.14,5.77,4.72,3.08,4.96,5.25,2.39,51,3,Yes,Yes,Good,21.69,23.41,94.84,97.77,48.68
116,19,Male,Undergraduate,5.01,0.69,1.01,5.4,0.1,8.77,5.6,23,262,Yes,Yes,Poor,87.09,15.82,59.81,87.59,57.39
117,20,Other,Postgraduate,5.03,1.13,2.99,3.35,1.64,8.77,9.28,94,28,Yes,Yes,Average,34.26,17.27,66.32,67.1,25.04
118,25,Male,Postgraduate,6.59,5.47,3.21,0.81,4.93,7.06,2.04,82,20,No,No,Good,86.1,32.9,89.65,53.08,18.66
119,24,Male,Postgraduate,2.68,0.73,1.47,0.59,0.0,7.39,3.7,23,303,Yes,Yes,Excellent,31.11,87.58,80.81,72.63,45.45
120,18,Other,Undergraduate,5.87,5.83,3.82,0.19,3.57,7.6,6.31,53,85,Yes,Yes,Average,51.91,78.83,55.55,91.11,87.83
121,17,Other,Postgraduate,5.3,5.0,4.29,0.73,0.22,4.95,8.69,5,337,No,No,Excellent,36.37,30.78,22.02,38.6,30.17
122,18,Female,Undergraduate,7.2,4.48,3.42,2.69,4.06,8.79,5.35,14,72,Yes,Yes,Excellent,57.52,58.28,97.88,74.07,97.06
123,23,Male,Postgraduate,2.93,0.95,2.73,5.18,0.44,6.38,8.33,60,317,Yes,No,Average,7.02,94.99,68.84,78.78,91.19
124,17,Other,Undergraduate,3.95,2.89,2.89,5.87,0.59,5.8,2.15,10,204,No,No,Excellent,52.53,5.69,52.07,14.41,92.79
125,22,Other,Undergraduate,1.29,2.84,1.09,4.38,2.65,4.5,4.55,62,239,No,No,Poor,77.02,52.49,96.38,55.08,5.99
126,25,Male,Undergraduate,1.07,0.95,2.11,3.29,4.64,7.85,9.42,42,89,Yes,Yes,Excellent,24.56,94.05,70.4,82.27,66.58
127,22,Male,Undergraduate,1.91,3.0,3.34,4.85,4.98,4.79,9.8,19,32,No,No,Excellent,37.59,33.42,23.6,78.25,66.34
128,17,Other,Undergraduate,2.13,4.56,1.85,1.1,4.01,7.96,7.95,77,232,Yes,No,Average,39.69,75.54,85.7,94.65,33.54
129,25,Other,High School,6.99,5.89,1.81,3.46,3.66,8.93,6.98,99,125,No,No,Excellent,62.38,27.04,68.08,91.58,11.08
130,21,Female,Postgraduate,3.86,5.15,1.54,4.76,4.67,8.18,9.39,26,245,Yes,No,Good,12.67,23.69,98.67,41.6,40.51
131,21,Male,Undergraduate,2.58,3.63,2.38,5.67,2.04,6.95,9.21,82,17,No,Yes,Good,2.11,5.84,54.78,50.12,99.2
132,23,Other,High School,7.27,1.23,4.32,0.51,4.83,8.47,4.64,7,296,Yes,Yes,Excellent,12.71,96.9,91.55,58.34,47.41
133,22,Female,Postgraduate,4.31,1.85,3.85,1.66,0.04,4.13,8.69,81,290,No,Yes,Poor,43.01,31.67,23.87,88.16,90.72
134,23,Female,High School,5.83,4.21,0.4,3.4,0.34,8.9,5.76,65,4,Yes,No,Average,31.1,8.39,77.58,66.13,48.51
135,20,Other,Postgraduate,1.61,2.82,1.94,1.85,2.54,7.05,6.14,64,322,Yes,No,Average,12.24,91.37,38.76,14.63,70.18
136,17,Male,Undergraduate,5.64,1.4,3.88,3.21,2.06,7.12,5.19,86,299,Yes,No,Average,23.62,41.21,18.38,63.65,27.01
137,22,Other,Postgraduate,3.82,5.05,2.97,3.86,0.46,7.94,8.64,13,140,Yes,No,Average,1.96,10.11,67.33,44.06,7.14
138,23,Male,High School,1.89,2.16,2.96,5.89,3.49,5.14,3.24,20,373,Yes,Yes,Excellent,32.31,88.91,61.72,61.89,77.73
139,23,Female,Undergraduate,2.47,1.15,0.56,1.64,2.11,5.13,7.72,24,352,Yes,Yes,Good,1.63,93.48,37.31,30.45,57.09
140,18,Male,Undergraduate,4.13,4.15,0.44,5.76,1.42,8.16,6.48,112,347,Yes,No,Average,69.35,97.81,89.83,16.23,68.69
141,22,Male,High School,1.02,4.45,2.87,1.44,3.65,7.26,5.49,73,275,Yes,No,Poor,51.48,99.77,72.21,34.13,28.71
142,19,Other,Undergraduate,7.76,5.1,3.13,2.43,4.47,4.65,7.37,17,172,No,No,Average,8.9,38.75,58.6,51.41,0.9
143,21,Female,Undergraduate,1.06,5.64,2.19,3.84,2.25,4.2,2.95,11,2,Yes,Yes,Poor,76.18,98.01,84.93,19.78,98.97
144,22,Male,Postgraduate,2.68,3.35,4.47,5.66,0.6,5.74,3.16,118,68,Yes,No,Excellent,56.01,82.98,47.1,36.73,19.05
145,17,Male,High School,6.42,1.32,4.37,5.83,3.61,7.01,7.12,92,169,Yes,No,Excellent,69.6,21.06,71.03,88.34,47.84
146,22,Female,Postgraduate,4.54,4.12,3.8,0.64,4.01,4.53,5.68,41,32,Yes,Yes,Poor,41.77,5.98,52.24,29.05,96.15
147,21,Other,Postgraduate,1.19,4.93,1.68,1.78,2.06,4.67,3.63,23,399,No,No,Good,25.81,76.05,97.67,82.28,75.37
148,19,Female,High School,1.05,5.35,0.97,4.31,4.27,8.19,6.59,32,335,Yes,Yes,Good,49.64,85.53,79.72,8.48,22.58
149,22,Other,Postgraduate,1.28,3.53,3.37,1.72,2.38,6.22,4.34,60,173,No,No,Poor,33.27,70.25,83.67,55.0,45.5
150,25,Other,Postgraduate,1.22,5.88,2.53,0.44,0.57,7.49,7.66,22,221,No,No,Average,10.63,18.5,60.98,62.02,45.68
151,25,Female,Postgraduate,5.54,0.77,3.38,5.14,3.51,7.75,8.36,75,17,Yes,Yes,Average,69.21,94.36,13.1,61.47,1.41
152,22,Other,Undergraduate,3.81,1.8,1.05,1.89,4.1,6.89,8.71,116,254,Yes,Yes,Average,67.49,82.27,26.72,42.8,92.7
153,19,Female,High School,1.36,3.53,1.68,3.82,4.99,8.67,9.13,22,190,Yes,No,Excellent,27.89,32.98,97.89,38.57,98.3
154,21,Female,Undergraduate,2.94,5.07,0.22,3.46,4.19,8.94,3.87,10,16,Yes,Yes,Good,8.14,65.78,26.85,83.54,19.45
155,19,Female,High School,3.64,4.52,4.23,2.68,3.72,7.37,4.63,8,293,No,No,Excellent,37.51,0.84,73.14,89.1,60.69
156,23,Other,High School,5.47,3.14,1.42,3.98,3.18,5.83,7.88,73,382,No,No,Excellent,77.76,98.81,40.66,95.11,2.29
157,21,Female,High School,3.7,5.84,1.01,1.59,1.66,7.87,5.58,92,354,No,No,Excellent,89.88,46.87,94.76,73.46,64.13
158,20,Female,High School,2.8,4.3,0.0,2.22,3.86,8.84,6.42,113,191,Yes,Yes,Poor,56.15,16.79,71.27,89.54,94.43
159,25,Female,Postgraduate,2.97,4.16,0.85,2.3,3.86,6.52,3.31,84,304,No,No,Average,53.15,70.53,73.5,71.76,30.16
160,22,Female,High School,3.6,3.13,2.9,1.86,3.7,7.66,6.88,92,284,Yes,Yes,Good,24.87,2.59,3.35,41.87,42.31
161,21,Other,Undergraduate,1.1,2.01,3.32,4.99,1.0,6.55,4.08,13,243,Yes,Yes,Good,96.48,83.95,39.47,7.92,17.09
162,19,Male,High School,0.9,1.51,1.44,2.6,4.29,6.76,6.41,119,248,No,Yes,Good,20.43,57.53,80.34,53.98,51.15
163,20,Other,High School,1.58,4.77,3.78,1.81,4.86,4.11,4.2,8,93,Yes,No,Poor,95.3,80.89,1.17,7.78,99.03
164,17,Other,High School,2.53,5.71,2.22,4.39,0.91,5.17,8.18,80,48,Yes,No,Good,70.71,38.79,6.7,54.89,74.04
165,22,Female,Undergraduate,5.78,5.08,0.3,1.55,3.75,4.68,2.32,21,151,No,Yes,Good,46.29,59.49,69.99,28.38,67.6
166,23,Female,Postgraduate,6.46,4.98,2.61,1.28,0.77,7.07,7.33,8,153,No,Yes,Good,63.94,50.05,15.08,38.25,96.52
167,21,Other,High School,6.7,5.79,1.63,2.48,1.38,5.4,4.43,75,127,No,No,Excellent,53.97,98.56,62.4,66.24,80.31
168,22,Male,Postgraduate,3.82,3.54,2.8,5.96,2.95,4.41,9.96,54,115,Yes,Yes,Excellent,78.64,98.74,49.14,57.27,71.79
169,24,Female,Undergraduate,4.3,4.9,3.57,0.92,0.75,7.68,2.74,59,67,Yes,No,Excellent,68.34,60.18,25.28,15.76,0.82
170,25,Male,Postgraduate,1.4,0.97,3.17,4.14,1.59,6.59,5.07,108,77,No,Yes,Poor,75.84,86.28,66.53,30.96,61.12
171,17,Female,Postgraduate,0.54,3.79,4.77,0.02,1.01,5.03,6.04,69,11,Yes,No,Poor,25.14,60.54,37.05,25.28,70.24
172,22,Male,Postgraduate,1.15,5.76,3.42,2.33,1.14,4.24,2.02,56,282,Yes,Yes,Excellent,15.97,39.95,41.39,25.18,5.95
173,22,Female,High School,3.13,0.52,4.65,5.59,3.48,6.14,6.48,38,27,Yes,No,Average,71.9,13.08,36.2,46.68,42.37
174,23,Male,Postgraduate,2.31,4.87,0.76,5.29,2.53,7.2,6.26,56,24,Yes,No,Excellent,33.23,8.55,46.43,24.83,9.27
175,25,Female,Postgraduate,1.52,1.69,1.09,4.14,3.15,4.49,9.33,34,22,Yes,No,Average,44.71,93.75,43.94,49.87,22.37
176,18,Other,Undergraduate,0.62,2.61,3.7,1.94,4.39,8.63,8.63,115,383,No,Yes,Average,97.66,88.17,52.27,38.13,11.91
177,21,Male,Postgraduate,2.5,3.7,1.27,5.97,2.15,7.22,7.98,29,158,No,No,Good,12.51,48.28,40.42,16.95,98.6
178,18,Female,Postgraduate,4.57,3.26,2.63,3.57,4.74,4.27,8.51,104,83,Yes,Yes,Poor,85.61,80.36,4.3,4.5,20.47
179,21,Other,Undergraduate,1.31,1.49,1.46,4.19,4.62,5.89,4.37,36,168,No,No,Average,34.58,88.14,20.75,13.25,72.42
180,24,Male,Undergraduate,7.28,1.52,3.26,5.58,2.79,8.45,6.88,59,99,Yes,No,Average,8.94,89.93,27.25,98.25,1.96
181,23,Female,High School,4.44,1.25,2.57,1.52,4.67,4.01,3.4,72,194,Yes,Yes,Excellent,23.51,14.98,30.65,42.32,57.76
182,17,Male,Undergraduate,4.07,1.44,1.89,4.06,0.04,7.4,3.54,27,45,No,Yes,Excellent,94.43,88.01,99.31,2.09,7.96
183,18,Female,High School,7.07,4.54,0.59,4.55,3.57,4.24,9.19,111,243,Yes,Yes,Poor,96.29,48.48,42.77,42.0,94.62
184,18,Other,Postgraduate,5.69,4.22,1.32,3.26,4.39,8.52,6.42,11,253,No,Yes,Poor,65.99,16.7,30.12,58.29,42.97
